GO_ID,x,y
GO:0000411,0.038115,0.620113
GO:0000413,0.068167,0.625695
GO:0000417,0.050323,0.630626
GO:0000421,0.060656,0.60462
GO:0000422,0.063321,0.603533
GO:0000423,0.063295,0.599632
GO:0000425,0.055268,0.617475
GO:0000428,0.053345,0.628935
GO:0000429,0.045515,0.622792
GO:0000430,0.052845,0.61315
GO:0000431,0.05533,0.622488
GO:0000432,0.051777,0.615008
GO:0000435,0.060032,0.628057
GO:0000436,0.055316,0.627505
GO:0000438,0.037911,0.614535
GO:0000439,0.052917,0.632779
GO:0000444,0.048668,0.641823
GO:0000445,0.057392,0.636005
GO:0000447,0.070694,0.635751
GO:0000448,0.05537,0.616952
GO:0000451,0.059075,0.620272
GO:0000454,0.040835,0.618059
GO:0000455,0.060563,0.625614
GO:0000460,0.05743,0.629222
GO:0000461,0.055684,0.611447
GO:0000462,0.069122,0.633481
GO:0000463,0.065941,0.632504
GO:0000466,0.069876,0.633947
GO:0000467,0.059137,0.627326
GO:0000470,0.067424,0.633235
GO:0000472,0.066077,0.632883
GO:0000479,0.06814,0.63533
GO:0000480,0.069523,0.634626
GO:0000481,0.051257,0.627384
GO:0000491,0.041968,0.611233
GO:0000492,0.055682,0.632464
GO:0000493,0.065247,0.629029
GO:0000494,0.065445,0.631837
GO:0000495,0.057222,0.628294
GO:0000497,0.056492,0.610485
GO:0000502,0.063069,0.598294
GO:0000506,0.057831,0.59311
GO:0000511,0.036851,0.612598
GO:0000512,0.042285,0.618269
GO:0000514,0.045269,0.611269
GO:0000515,0.04024,0.612193
GO:0000578,0.062324,0.62333
GO:0000700,0.046147,0.613586
GO:0000701,0.045105,0.614957
GO:0000702,0.055707,0.620048
GO:0000703,0.051983,0.620692
GO:0000706,0.05185,0.632488
GO:0000707,0.056319,0.616549
GO:0000708,0.043744,0.615564
GO:0000709,0.05601,0.617331
GO:0000710,0.055697,0.618628
GO:0000711,0.044155,0.628196
GO:0000712,0.049373,0.641022
GO:0000715,0.040449,0.618523
GO:0000719,0.052315,0.617256
GO:0000720,0.062859,0.624161
GO:0000721,0.051217,0.595487
GO:0000722,0.049339,0.633872
GO:0000723,0.06552,0.626634
GO:0000724,0.049691,0.639647
GO:0000725,0.048167,0.640543
GO:0000727,0.060836,0.626249
GO:0000729,0.058043,0.629335
GO:0000730,0.052759,0.634756
GO:0000731,0.057373,0.621254
GO:0000732,0.050596,0.619687
GO:0000741,0.044379,0.612964
GO:0000768,0.047236,0.632068
GO:0000773,0.056908,0.592326
GO:0000774,0.063612,0.602687
GO:0000775,0.04946,0.642521
GO:0000776,0.048729,0.643561
GO:0000779,0.049455,0.641595
GO:0000781,0.050441,0.640945
GO:0000782,0.048726,0.636254
GO:0000783,0.058501,0.622499
GO:0000785,0.050936,0.64172
GO:0000786,0.051239,0.641899
GO:0000791,0.048449,0.627688
GO:0000792,0.049133,0.637714
GO:0000793,0.049492,0.642338
GO:0000794,0.048753,0.642731
GO:0000795,0.048729,0.642717
GO:0000796,0.04553,0.637213
GO:0000800,0.046485,0.635104
GO:0000801,0.045859,0.63542
GO:0000802,0.035473,0.615375
GO:0000803,0.051167,0.614762
GO:0000805,0.041548,0.617969
GO:0000806,0.047344,0.628662
GO:0000808,0.04532,0.637722
GO:0000810,0.05816,0.592584
GO:0000811,0.045905,0.628451
