GO_ID,x,y
GO:0000404,-0.182460,0.513147
GO:0000405,-0.216050,0.478668
GO:0000406,-0.277833,0.404376
GO:0000407,0.062862,0.601711
GO:0000408,-0.206451,0.589364
GO:0000409,0.055045,0.616739
GO:0000411,0.381854,0.208564
GO:0000413,0.068167,0.625695
GO:0000417,0.050323,0.630626
GO:0000421,0.120449,-0.533120
GO:0000422,0.547365,-0.120216
GO:0000423,0.530541,-0.171452
GO:0000425,0.486930,-0.129992
GO:0000428,-0.231078,0.443975
GO:0000429,0.310508,0.278885
GO:0000430,0.150644,0.036278
GO:0000431,0.323612,0.307250
GO:0000432,0.169716,0.025657
GO:0000435,0.320013,0.260352
GO:0000436,0.358954,0.196637
GO:0000438,-0.395757,0.418933
GO:0000439,-0.401318,0.446937
GO:0000444,-0.430837,0.394964
GO:0000445,-0.249155,0.381365
GO:0000447,0.430872,-0.161448
GO:0000448,0.411353,-0.125693
GO:0000451,0.417665,-0.139432
GO:0000454,0.437883,-0.147938
GO:0000455,0.413633,-0.122570
GO:0000460,0.428846,-0.126699
GO:0000461,0.395838,0.263482
GO:0000462,0.407705,-0.100094
GO:0000463,0.401628,-0.148153
GO:0000466,0.433999,-0.103035
GO:0000467,0.398779,0.201476
GO:0000470,0.485626,-0.167034
GO:0000472,0.447300,-0.197382
GO:0000479,0.410451,-0.138029
GO:0000480,0.399708,-0.169412
GO:0000481,0.477924,-0.148585
GO:0000491,0.002408,0.356556
GO:0000492,0.014711,0.360192
GO:0000493,0.004666,0.378658
GO:0000494,0.504410,-0.233576
GO:0000495,0.549559,-0.195494
GO:0000497,0.056492,0.610485
GO:0000502,-0.275431,0.557936
GO:0000506,-0.423846,0.395706
GO:0000511,-0.112013,-0.408621
GO:0000512,0.543472,-0.456087
GO:0000514,-0.323273,-0.199241
GO:0000515,-0.421322,-0.248085
GO:0000578,0.414954,0.503414
GO:0000700,-0.089046,0.518247
GO:0000701,-0.137029,0.595532
GO:0000702,-0.181770,0.560501
GO:0000703,-0.095288,0.560360
GO:0000706,0.510520,-0.219663
GO:0000707,-0.001229,0.312419
GO:0000708,0.545976,-0.259110
GO:0000709,0.741351,-0.109914
GO:0000710,0.549689,0.001263
GO:0000711,0.535340,-0.149983
GO:0000712,0.728265,-0.154018
GO:0000715,0.470947,-0.266252
GO:0000719,0.513499,-0.162906
GO:0000720,0.518130,-0.140831
GO:0000721,-0.245472,0.426489
GO:0000722,0.628278,-0.159349
GO:0000723,0.582965,-0.264065
GO:0000724,0.525050,-0.173418
GO:0000725,0.586328,-0.096034
GO:0000727,0.552829,-0.156938
GO:0000729,0.546138,-0.211656
GO:0000730,0.019545,0.315920
GO:0000731,0.567875,-0.188873
GO:0000732,0.050596,0.619687
GO:0000741,0.783368,-0.118034
GO:0000768,0.047236,0.632068
GO:0000773,-0.203147,0.583414
GO:0000774,-0.452244,0.227574
GO:0000775,0.009909,-0.489194
GO:0000776,-0.159225,-0.381774
GO:0000779,0.020576,-0.507433
GO:0000781,-0.000587,-0.520307
GO:0000782,-0.389673,0.331017
GO:0000783,-0.346412,0.368732
GO:0000785,0.050936,0.641720
GO:0000786,-0.247213,0.359552
GO:0000791,0.025030,0.631139
GO:0000792,0.049133,0.637714
GO:0000793,-0.064674,-0.461621
GO:0000794,-0.085811,-0.443066
GO:0000795,0.048729,0.642717
GO:0000796,0.045530,0.637213
GO:0000800,0.046485,0.635104
GO:0000801,0.045859,0.635420
GO:0000802,0.035473,0.615375
GO:0000803,-0.092415,-0.474726
GO:0000805,-0.134473,-0.490298
GO:0000806,-0.041977,-0.456131
GO:0000808,0.045320,0.637722
GO:0000810,0.058160,0.592584
GO:0000811,-0.337237,0.357002
GO:0000812,-0.269630,0.507987
GO:0000813,-0.404028,0.473677
GO:0000814,-0.348480,0.481158
GO:0000815,-0.400823,0.427850
GO:0000819,0.542015,-0.207587
GO:0000820,0.047770,0.608484
GO:0000821,0.061298,0.618887
GO:0000822,0.362240,-0.108261
GO:0000823,0.063058,0.602526
GO:0000824,0.062669,0.608380
GO:0000825,0.062345,0.608845
GO:0000827,0.568795,0.272765
GO:0000828,0.572303,0.248270
GO:0000829,0.545439,0.228820
GO:0000831,0.535859,0.257829
GO:0000832,0.549972,0.236409
GO:0000835,-0.196675,0.427246
GO:0000836,-0.185670,0.437561
GO:0000839,-0.202835,0.429553
GO:0000900,0.068760,0.622490
GO:0000902,0.653280,-0.121099
GO:0000910,0.707141,-0.158725
GO:0000912,0.671906,-0.050652
GO:0000915,0.612600,-0.145934
GO:0000916,0.567274,-0.062373
GO:0000921,-0.024313,0.362714
GO:0000922,-0.128669,-0.308493
GO:0000930,-0.458425,0.452729
GO:0000931,-0.345317,0.516909
GO:0000932,-0.061164,-0.267566
GO:0000938,-0.355548,0.389812
GO:0000939,0.048557,0.643570
GO:0000940,-0.436998,0.379118
GO:0000956,0.499428,-0.178629
GO:0000957,0.533511,-0.081043
GO:0000958,0.487939,-0.061369
GO:0000959,0.511256,-0.067576
GO:0000960,0.055712,0.618903
GO:0000961,0.033207,0.638451
GO:0000962,0.043589,0.621228
GO:0000963,0.463064,-0.174414
GO:0000964,0.467710,-0.172641
GO:0000965,0.401971,0.212769
GO:0000966,0.451643,-0.173369
GO:0000967,0.432395,-0.173333
GO:0000972,0.584730,-0.143925
GO:0000973,0.620982,-0.297144
GO:0000974,-0.262380,0.469260
GO:0000976,-0.275579,0.515516
GO:0000977,-0.268261,0.518072
GO:0000978,-0.276867,0.490140
GO:0000979,-0.277734,0.480622
GO:0000981,-0.374632,-0.325469
GO:0000987,-0.298469,0.525772
GO:0000992,-0.291209,0.625654
GO:0000993,0.076937,0.432174
GO:0000994,0.485899,0.176625
GO:0000995,-0.261441,-0.173695
GO:0001002,-0.187876,0.556275
GO:0001003,-0.383477,0.494270
GO:0001006,-0.264806,0.415401
GO:0001010,0.042783,0.622065
GO:0001016,-0.176649,0.568262
GO:0001018,-0.305826,0.598561
GO:0001025,0.038746,0.614333
GO:0001042,0.358941,0.298154
GO:0001046,-0.272853,0.520946
GO:0001059,0.041670,0.615694
GO:0001060,0.040343,0.611816
GO:0001067,-0.309601,0.430754
GO:0001069,-0.252986,0.497816
GO:0001091,0.614424,-0.232790
GO:0001093,0.739603,-0.258690
GO:0001094,0.556178,-0.225036
GO:0001096,0.609282,-0.141553
GO:0001097,0.554155,-0.366421
GO:0001098,-0.218761,0.475996
GO:0001099,-0.266904,0.551724
GO:0001100,0.405947,-0.169997
GO:0001101,0.363981,0.121918
GO:0001109,0.049921,0.613364
GO:0001111,0.044412,0.621465
GO:0001112,-0.019424,-0.690406
GO:0001115,0.060295,0.403712
GO:0001117,-0.007921,0.388766
GO:0001120,-0.079165,-0.780591
GO:0001147,-0.329463,0.603052
GO:0001156,0.047534,0.615220
GO:0001161,-0.212391,0.566990
GO:0001162,-0.147674,0.537446
GO:0001163,-0.166925,0.463960
GO:0001164,-0.406824,0.449064
GO:0001165,-0.287368,0.414875
GO:0001172,0.055900,0.624658
GO:0001173,0.050357,0.614807
GO:0001174,0.045557,0.629289
GO:0001178,-0.439011,0.129888
GO:0001179,0.045557,0.628047
GO:0001181,-0.416005,-0.204224
GO:0001188,0.588065,-0.078484
GO:0001192,0.049988,0.615189
GO:0001193,0.047652,0.630453
GO:0001216,-0.413252,-0.266955
GO:0001217,-0.421255,-0.260014
GO:0001221,0.639059,-0.103892
GO:0001222,0.667054,-0.140827
GO:0001223,0.639084,-0.082971
GO:0001227,-0.408379,-0.317047
GO:0001228,-0.330683,-0.262984
GO:0001325,0.647125,-0.031466
GO:0001401,-0.230080,0.420609
GO:0001405,-0.279671,0.486181
GO:0001408,0.697387,0.282777
GO:0001409,-0.443501,-0.229247
GO:0001501,0.054062,-0.231776
GO:0001502,0.031120,0.613399
GO:0001503,0.485226,0.436724
GO:0001504,0.573562,-0.218642
GO:0001507,0.049760,0.600904
GO:0001508,-0.101794,0.150181
GO:0001510,0.364890,-0.103773
GO:0001512,-0.298808,0.481860
GO:0001514,0.619501,-0.213820
GO:0001515,0.115847,-0.684574
GO:0001516,0.624915,-0.181528
GO:0001517,0.551984,0.257662
GO:0001518,-0.127869,-0.211640
GO:0001519,0.564458,-0.055172
GO:0001520,0.043957,0.630434
GO:0001522,0.470449,-0.138971
GO:0001523,0.664616,-0.209690
GO:0001525,0.031631,0.610058
GO:0001527,0.032310,0.609798
GO:0001530,-0.390552,0.416260
GO:0001532,-0.454369,-0.152189
GO:0001533,0.029424,0.608634
GO:0001534,0.043568,0.631905
GO:0001535,0.042782,0.635333
GO:0001536,0.040778,0.627317
GO:0001537,0.532970,0.238036
GO:0001539,0.056925,0.611081
GO:0001540,-0.277104,0.484821
GO:0001541,-0.036765,-0.097447
GO:0001542,0.668525,-0.136606
GO:0001543,0.050826,0.613607
GO:0001544,0.038323,0.615080
GO:0001545,0.055269,0.609578
GO:0001546,0.043052,0.624955
GO:0001547,0.030596,0.607891
GO:0001549,0.037985,0.608878
GO:0001550,0.048031,0.616633
GO:0001552,0.047468,0.600636
GO:0001553,0.601904,-0.031451
GO:0001554,0.696881,0.000406
GO:0001555,0.060575,0.623349
GO:0001556,0.044598,0.629314
GO:0001558,0.047492,0.635770
GO:0001560,0.055500,0.619020
GO:0001561,0.579746,-0.172531
GO:0001562,0.049811,0.612461
GO:0001567,-0.231381,0.481826
GO:0001568,0.015886,-0.246246
